"id","name","country_id","language_id","region_id","data_value","start_date","end_date","publish_status","view_id","page_url","url_directory","meta_title","meta_description","home_page_id","super_app_id","legacy_template_id","is_mobile","space_between_items","show_on_search_engines","create_date","is_deleted"
3743,[OLD] PILOT-HOMEPAGE2,10,6,1,"{""componentJson"": [{""id"": 7158, ""displayOrder"": 1}, {""id"": 7157, ""displayOrder"": 2}]}","2025-10-22 22:53:27.301486","2035-10-22 22:54:00.847565",1,8,"","","","",323,0,16,false,false,0,"2026-02-17 21:46:19.306368",false
3744,[OLD] PILOT-HP,10,6,1,"{""componentJson"": [{""id"": 7158, ""displayOrder"": 1}]}","2025-10-22 23:02:18.184617","2035-10-22 23:03:00.847791",1,8,"","","","",324,0,18,false,false,0,"2026-02-17 21:46:19.379747",false
3745,[OLD] PILOT-KZ-TEST-HOMEPAGE,10,6,1,"{""componentJson"": [{""id"": 7157, ""displayOrder"": 1}]}","2025-10-22 23:17:22.673109","2035-10-22 23:06:00",1,8,"","","","",325,0,19,false,false,0,"2026-02-17 21:46:19.451267",false
3746,[OLD] APP-HOMEPAGE-KZ,10,6,1,"{""componentJson"": [{""id"": 7159, ""displayOrder"": 1}]}","2025-10-08 12:40:56.209019","2035-10-08 12:40:57.778054",1,8,"","","","",275,1,26392,true,false,0,"2026-02-17 21:46:19.539623",false
3747,[OLD] WEB-HOMEPAGE,10,6,1,"{""componentJson"": [{""id"": 7160, ""displayOrder"": 1}]}","2025-10-08 12:43:11","2035-10-08 12:43:37",1,8,"","","","",276,0,26393,false,false,0,"2026-02-17 21:46:19.622873",false
3748,[OLD] APP-NEWYEAR-HOME-KZ,10,6,1,"{""componentJson"": [{""id"": 7161, ""displayOrder"": 1}]}","2025-11-28 10:57:12.510036","2035-11-28 10:57:29.705821",1,8,newyear-nt,/katalog,newyear,newyear,472,1,116130,true,false,0,"2026-02-17 21:46:19.709196",false
3749,[OLD] APP-NEWYEAR-HOME-RURU-NEW-12.03,10,3,1,"{""componentJson"": [{""id"": 7162, ""displayOrder"": 1}]}","2025-11-28 10:56:44","2035-12-03 06:39:00.522008",1,8,newyear-nt,/katalog,newyear,newyear,471,1,116842,true,false,0,"2026-02-17 21:46:19.791051",false
3768,[OLD] APP-WOMEN-KZ-111225,10,6,1,"{""componentJson"": [{""id"": 7755, ""displayOrder"": 1}]}","2026-02-11 05:57:05","2026-04-20 11:53:50.086061",4,8,"","","","",334,1,0,true,false,1,"2026-02-17 21:46:21.391209",false
3770,[OLD] APP-HOMEPAGE-KZ-010126,10,6,1,"{""componentJson"": [{""id"": 7183, ""displayOrder"": 1}, {""id"": 7184, ""displayOrder"": 2}, {""id"": 7185, ""displayOrder"": 3}]}","2026-01-01 04:00:24","2036-01-01 04:00:42.230616",1,8,"","","","",333,1,120118,true,false,0,"2026-02-17 21:46:21.659298",false
3771,[OLD] HOMEPAGE-KZ-010126,10,6,1,"{""componentJson"": [{""id"": 7186, ""displayOrder"": 1}, {""id"": 7187, ""displayOrder"": 2}, {""id"": 7188, ""displayOrder"": 3}]}","2026-01-01 04:00:37","2036-01-01 04:00:59.404086",1,8,"","","","",327,0,120119,false,false,0,"2026-02-17 21:46:21.841191",false
3772,[OLD] APP-HOMEPAGE-KZRU-010126,10,3,1,"{""componentJson"": [{""id"": 7189, ""displayOrder"": 1}, {""id"": 7190, ""displayOrder"": 2}, {""id"": 7191, ""displayOrder"": 3}]}","2026-01-01 04:00:01","2036-01-01 04:00:29.710494",1,8,"","","","",345,1,120123,true,false,0,"2026-02-17 21:46:22.018938",false
3773,[OLD] HOMEPAGE-KZRU-010126,10,3,1,"{""componentJson"": [{""id"": 7192, ""displayOrder"": 1}, {""id"": 7193, ""displayOrder"": 2}, {""id"": 7194, ""displayOrder"": 3}]}","2026-01-01 04:00:59","2036-01-01 04:00:59.484427",1,8,"","","","",339,0,120124,false,false,0,"2026-02-17 21:46:22.198424",false
