"id","display_order","name","viewkey","status_type_id","platform_id","super_app_id","create_user_name","create_date","last_updated_user_name","last_updated_date","language_id","country_id","is_default","title","is_highlighted","old_id","old_status_type_id","old_platform_id","old_super_app_id","fallback_homepage_id"
"107",37,"ΓΥΝΑΙΚΕΣ","women-gr",1,1,0,"TANER.CEVHER","2025-09-09 13:07:26.01781","MACIT.ISIK","2026-06-09 07:00:37.476113",23,35,True,"ΓΥΝΑΙΚΕΣ",False,"107","1","1","0",NULL
"108",225,"ΑΝΔΡΕΣ","men-gr",1,1,0,"TANER.CEVHER","2025-09-09 13:07:35.372894","MACIT.ISIK","2026-06-09 07:00:37.476114",23,35,False,"ΑΝΔΡΕΣ",False,"108","1","1","0",NULL
"109",226,"ΠΑΙΔΙΑ ΚΑΙ ΜΩΡΑ","kids-baby-gr",1,1,0,"TANER.CEVHER","2025-09-09 13:07:50.155149","MACIT.ISIK","2026-06-09 07:00:37.476114",23,35,False,"ΠΑΙΔΙΑ ΚΑΙ ΜΩΡΑ",False,"109","1","1","0",NULL
"110",74,"ΖΩΝΗ ΣΥΝΑΛΛΑΓΩΝ","deal-zone-gr",2,1,0,"TANER.CEVHER","2025-09-09 13:08:01.372542","","2026-06-11 11:15:59.663293",23,35,False,"ΖΩΝΗ ΣΥΝΑΛΛΑΓΩΝ",True,"110","1","1","0",NULL
"111",15,"DAMEN","women-de",1,1,0,"TANER.CEVHER","2025-09-09 14:17:25.742934","MACIT.ISIK","2026-06-09 07:00:37.476114",4,25,True,"DAMEN",False,"111","1","1","0",NULL
"112",16,"HOMEPAGE","homepage-de",2,1,0,"TANER.CEVHER","2025-09-09 14:17:56.127379","MACIT.ISIK","2026-06-09 07:00:37.476114",4,25,False,"HOMEPAGE",False,"112","1","1","0",NULL
"113",17,"HERREN","men-de",1,1,0,"TANER.CEVHER","2025-09-09 14:18:04.930879","MACIT.ISIK","2026-06-09 07:00:37.476114",4,25,False,"HERREN",False,"113","1","1","0",NULL
"114",18,"KINDER & BABY","kids-baby-de",1,1,0,"TANER.CEVHER","2025-09-09 14:18:15.87407","MACIT.ISIK","2026-06-09 07:00:37.476115",4,25,False,"KINDER & BABY",False,"114","1","1","0",NULL
"115",22,"DEAL-ZONE","deal-zone-de",2,1,0,"TANER.CEVHER","2025-09-09 14:18:28.143298","","2026-06-11 12:27:37.618784",4,25,False,"DEAL-ZONE",True,"115","1","1","0",NULL
"116",16,"ANA SAYFA","homepage-detr",2,1,0,"TANER.CEVHER","2025-09-09 14:20:00.010958","MACIT.ISIK","2026-06-09 07:00:37.476115",1,25,False,"ANA SAYFA",False,"116","1","1","0",NULL
"117",15,"KADIN","women-detr",1,1,0,"TANER.CEVHER","2025-09-09 14:20:11.24773","MACIT.ISIK","2026-06-09 07:00:37.476115",1,25,True,"KADIN",False,"117","1","1","0",NULL
"118",17,"ERKEK","men-detr",1,1,0,"TANER.CEVHER","2025-09-09 14:20:23.514616","MACIT.ISIK","2026-06-09 07:00:37.476115",1,25,False,"ERKEK",False,"118","1","1","0",NULL
